Date,Ticker,Entry_Time,Exit_Time,Entry_Price,Exit_Price,Stop_Loss,Target,Risk,PnL,PnL_Pct,R_Realized,Exit_Reason,Gap_Pct,SMA_200,R_Multiple
11/10/2025,OPEN.OQ,11/10/2025 21:51,11/10/2025 21:51,8,7.985,7.985,8.015,0.015,-0.015,-0.1875,-1,STOP,21.16843703,2.974793,1
10/6/2025,AMD.OQ,10/6/2025 21:56,10/6/2025 21:56,203.72,203.43,203.43,204.01,0.29,-0.29,-0.142352248,-1,STOP,19.05124006,128.402825,1
11/5/2025,RIVN.OQ,11/5/2025 21:59,11/5/2025 21:58,15.43,15.485,15.375,15.485,0.055,0.055,0.356448477,1,TARGET,18.59122402,13.146875,1
8/4/2025,ONDS.OQ,8/4/2025 21:59,8/4/2025 21:59,2.665,2.655,2.655,2.675,0.01,-0.01,-0.375234522,-1,STOP,17.21854305,1.338164,1
8/14/2025,OPEN.OQ,8/14/2025 21:25,8/14/2025 21:25,3.05,3.03,3.03,3.07,0.02,-0.02,-0.655737705,-1,STOP,16.95568401,1.358693,1
10/2/2025,ONDS.OQ,10/2/2025 21:58,10/2/2025 21:58,9.21,9.19,9.19,9.23,0.02,-0.02,-0.217155266,-1,STOP,15.79609817,2.322603,1
8/8/2025,FNMA.PK,8/8/2025 21:50,8/8/2025 20:15,9.8558,9.9616,9.75,9.9616,0.1058,0.1058,1.073479575,1,TARGET,13.65116279,6.1235995,1
8/11/2025,FNMA.PK,8/11/2025 21:25,8/11/2025 21:25,11.5,11.48,11.48,11.52,0.02,-0.02,-0.173913043,-1,STOP,13.38598223,6.1736995,1
6/30/2025,BBAI.N,6/30/2025 21:59,6/30/2025 21:59,6.81,6.745,6.745,6.875,0.065,-0.065,-0.954478708,-1,STOP,12.88702929,3.3813,1
8/18/2025,CIFR.OQ,8/18/2025 20:37,8/18/2025 20:34,6.06,6.04,6.04,6.08,0.02,-0.02,-0.330033003,-1,STOP,12.88515406,4.7011,1
10/2/2025,RGTI.OQ,10/2/2025 21:56,10/2/2025 21:56,35.43,35.3,35.3,35.56,0.13,-0.13,-0.366920689,-1,STOP,12.48805352,13.23925,1
11/24/2025,RGTI.OQ,11/24/2025 21:58,11/24/2025 21:58,26.62,26.57,26.57,26.67,0.05,-0.05,-0.1878287,-1,STOP,12.20439189,17.866025,1
10/3/2025,RGTI.OQ,10/3/2025 21:59,10/3/2025 21:58,40.06,40.16,39.96,40.16,0.1,0.1,0.249625562,1,TARGET,11.84026808,13.40375,1
10/13/2025,RGTI.OQ,10/13/2025 21:58,10/13/2025 21:58,55.02,54.87,54.87,55.17,0.15,-0.15,-0.272628135,-1,STOP,11.7545288,14.48745,1
11/24/2025,CIFR.OQ,11/24/2025 21:57,11/24/2025 21:57,16.68,16.655,16.655,16.705,0.025,-0.025,-0.149880096,-1,STOP,11.25584502,7.62135,1
5/20/2025,FNMA.PK,5/20/2025 21:07,5/20/2025 21:07,7.64,7.62,7.62,7.66,0.02,-0.02,-0.261780105,-1,STOP,10.82122093,3.907298,1
10/24/2025,F.N,10/24/2025 21:56,10/24/2025 21:47,13.845,13.885,13.805,13.885,0.04,0.04,0.288912965,1,TARGET,10.65278334,10.6691,1
9/4/2025,OPEN.OQ,9/4/2025 21:54,9/4/2025 21:54,5.97,5.935,5.935,6.005,0.035,-0.035,-0.586264657,-1,STOP,10.19462465,1.533993,1
10/24/2025,NBIS.OQ,10/24/2025 21:57,10/24/2025 21:55,117.35,117.17,117.17,117.53,0.18,-0.18,-0.153387303,-1,STOP,9.953095685,52.925225,1
7/29/2025,FNMA.PK,7/29/2025 19:57,7/29/2025 19:57,8.56,8.52,8.52,8.6,0.04,-0.04,-0.46728972,-1,STOP,9.807964944,5.8305955,1
9/10/2025,CIFR.OQ,9/10/2025 16:37,9/10/2025 16:37,10.27,10.235,10.235,10.305,0.035,-0.035,-0.340798442,-1,STOP,9.518716578,4.79105,1
8/29/2025,IREN.OQ,8/29/2025 19:53,8/29/2025 19:53,26.52,26.61,26.43,26.61,0.09,0.09,0.339366516,1,TARGET,9.077809798,11.484525,1
9/15/2025,IREN.OQ,9/15/2025 21:56,9/15/2025 21:56,37.18,37.09,37.09,37.27,0.09,-0.09,-0.242065627,-1,STOP,8.996184326,12.460875,1
11/24/2025,IREN.OQ,11/24/2025 21:58,11/24/2025 21:58,48.575,48.7,48.45,48.7,0.125,0.125,0.25733402,1,TARGET,8.994827974,23.062575,1
9/3/2025,GOOGL.OQ,9/3/2025 21:58,9/3/2025 21:58,230.67,230.25,230.25,231.09,0.42,-0.42,-0.182078294,-1,STOP,8.834506543,178.85355,1
10/2/2025,NBIS.OQ,10/2/2025 21:53,10/2/2025 21:52,126,126.25,125.75,126.25,0.25,0.25,0.198412698,1,TARGET,8.561318719,45.67315,1
9/19/2025,RGTI.OQ,9/19/2025 21:57,9/19/2025 21:55,28.52,28.605,28.435,28.605,0.085,0.085,0.298036466,1,TARGET,8.547987025,12.04775,1
11/10/2025,PLTR.OQ,11/10/2025 21:58,11/10/2025 21:58,193.76,193.545,193.545,193.975,0.215,-0.215,-0.110962015,-1,STOP,8.332400672,135.9064,1
9/9/2025,WULF.OQ,9/9/2025 21:52,9/9/2025 21:52,10.31,10.285,10.285,10.335,0.025,-0.025,-0.242483026,-1,STOP,8.092485549,5.027225,1
9/30/2025,CRWV.OQ,9/30/2025 21:55,9/30/2025 21:53,136.95,136.6,136.6,137.3,0.35,-0.35,-0.255567725,-1,STOP,8.016443988,104.4135156,1
11/10/2025,SOFI.OQ,11/10/2025 21:57,11/10/2025 21:56,30.57,30.485,30.485,30.655,0.085,-0.085,-0.278050376,-1,STOP,8.002832861,18.9204,1
11/24/2025,OPEN.OQ,11/24/2025 21:56,11/24/2025 21:52,7.71,7.88,7.54,7.88,0.17,0.17,2.204928664,1,TARGET,7.900355872,3.291193,1
7/23/2025,FNMA.PK,7/23/2025 21:55,7/23/2025 21:55,8.7,8.66,8.66,8.74,0.04,-0.04,-0.459770115,-1,STOP,7.493796526,5.6904605,1
9/16/2025,MARA.OQ,9/16/2025 21:59,9/16/2025 21:59,17.535,17.555,17.515,17.555,0.02,0.02,0.114057599,1,TARGET,7.219333129,16.44375,1
10/24/2025,AMD.OQ,10/24/2025 21:59,10/24/2025 21:58,252.97,253.29,252.65,253.29,0.32,0.32,0.126497213,1,TARGET,7.201899029,135.905675,1
11/3/2025,IREN.OQ,11/3/2025 21:58,11/3/2025 21:58,67.76,67.61,67.61,67.91,0.15,-0.15,-0.22136954,-1,STOP,7.155295235,19.813875,1
9/12/2025,TSLA.OQ,9/12/2025 21:56,9/12/2025 21:56,396,395.37,395.37,396.63,0.63,-0.63,-0.159090909,-1,STOP,7.154665438,330.8002,1
8/22/2025,SOFI.OQ,8/22/2025 21:57,8/22/2025 21:57,25.025,24.985,24.985,25.065,0.04,-0.04,-0.15984016,-1,STOP,6.956335616,15.5155,1
9/23/2025,ONDS.OQ,9/23/2025 21:51,9/23/2025 21:51,7.89,7.865,7.865,7.915,0.025,-0.025,-0.316856781,-1,STOP,6.861413043,2.0787955,1
8/18/2025,OPEN.OQ,8/18/2025 21:57,8/18/2025 21:46,3.79,3.82,3.76,3.82,0.03,0.03,0.791556728,1,TARGET,6.808510638,1.375343,1
9/8/2025,ONDS.OQ,9/8/2025 21:08,9/8/2025 21:08,6.07,6.055,6.055,6.085,0.015,-0.015,-0.247116969,-1,STOP,6.790123457,1.7683055,1
9/30/2025,PFE.N,9/30/2025 21:54,9/30/2025 21:47,25.49,25.54,25.44,25.54,0.05,0.05,0.196155355,1,TARGET,6.642917016,24.8053,1
10/20/2025,SOFI.OQ,10/20/2025 21:56,10/20/2025 21:56,28.695,28.67,28.67,28.72,0.025,-0.025,-0.087123192,-1,STOP,6.520527587,17.89995,1
9/24/2025,IREN.OQ,9/24/2025 21:59,9/24/2025 21:59,47.145,47.08,47.08,47.21,0.065,-0.065,-0.137872521,-1,STOP,6.474576271,13.432975,1
8/22/2025,IREN.OQ,8/22/2025 21:57,8/22/2025 21:57,21.43,21.5,21.36,21.5,0.07,0.07,0.32664489,1,TARGET,6.452416542,11.14805,1
8/25/2025,ONDS.OQ,8/25/2025 21:56,8/25/2025 21:35,4.85,4.8,4.8,4.9,0.05,-0.05,-1.030927835,-1,STOP,6.430155211,1.556864,1
11/13/2025,ONDS.OQ,11/13/2025 21:50,11/13/2025 21:33,6.6,6.55,6.55,6.65,0.05,-0.05,-0.757575758,-1,STOP,6.331168831,3.167353,1
9/9/2025,RGTI.OQ,9/9/2025 21:56,9/9/2025 21:56,16.525,16.45,16.45,16.6,0.075,-0.075,-0.453857791,-1,STOP,6.197546804,11.297,1
10/1/2025,PFE.N,10/1/2025 21:50,10/1/2025 21:50,27.23,27.205,27.205,27.255,0.025,-0.025,-0.091810503,-1,STOP,6.185365854,24.8152,1
10/24/2025,CRWV.OQ,10/24/2025 21:57,10/24/2025 21:55,132.61,132.97,132.25,132.97,0.36,0.36,0.27147274,1,TARGET,6.014736505,108.0959589,1
10/15/2025,AMD.OQ,10/15/2025 21:36,10/15/2025 21:36,238.71,238.465,238.465,238.955,0.245,-0.245,-0.102634996,-1,STOP,6.00497822,131.940325,1
9/22/2025,ONDS.OQ,9/22/2025 21:52,9/22/2025 21:49,7.27,7.245,7.245,7.295,0.025,-0.025,-0.343878955,-1,STOP,5.998536942,2.0433805,1
10/30/2025,RGTI.OQ,10/30/2025 20:58,10/30/2025 20:58,42.52,42.42,42.42,42.62,0.1,-0.1,-0.235183443,-1,STOP,5.9021712,16.371625,1
10/3/2025,ONDS.OQ,10/3/2025 21:59,10/3/2025 21:56,9.91,9.87,9.87,9.95,0.04,-0.04,-0.403632694,-1,STOP,5.784681307,2.365153,1
10/7/2025,IREN.OQ,10/7/2025 21:59,10/7/2025 21:59,61.7,61.57,61.57,61.83,0.13,-0.13,-0.210696921,-1,STOP,5.7267966,15.031975,1
10/9/2025,NBIS.OQ,10/9/2025 21:34,10/9/2025 21:32,132.77,133.16,132.38,133.16,0.39,0.39,0.293741056,1,TARGET,5.658871418,48.0613,1
11/5/2025,IREN.OQ,11/5/2025 21:59,11/5/2025 21:59,76.43,76.54,76.32,76.54,0.11,0.11,0.143922544,1,TARGET,5.417155476,20.415075,1
10/20/2025,CIFR.OQ,10/20/2025 21:44,10/20/2025 21:44,19.9,19.95,19.85,19.95,0.05,0.05,0.251256281,1,TARGET,5.387473461,6.0039,1
10/6/2025,OPEN.OQ,10/6/2025 21:56,10/6/2025 21:52,9.295,9.225,9.225,9.365,0.07,-0.07,-0.753093061,-1,STOP,4.985835694,2.231968,1
10/28/2025,SOFI.OQ,10/28/2025 20:46,10/28/2025 20:46,31.69,31.635,31.635,31.745,0.055,-0.055,-0.173556327,-1,STOP,4.751655629,18.33405,1
9/5/2025,ONDS.OQ,9/5/2025 21:37,9/5/2025 21:36,5.64,5.625,5.625,5.655,0.015,-0.015,-0.265957447,-1,STOP,4.553903346,1.741571,1
7/1/2025,F.N,7/1/2025 21:47,7/1/2025 21:46,11.35,11.325,11.325,11.375,0.025,-0.025,-0.220264317,-1,STOP,4.42192538,10.2564,1
5/13/2025,BBAI.N,5/13/2025 21:58,5/13/2025 21:56,3.565,3.55,3.55,3.58,0.015,-0.015,-0.420757363,-1,STOP,4.411764706,2.93995,1
11/11/2025,OPEN.OQ,11/11/2025 21:58,11/11/2025 21:58,8.5,8.46,8.46,8.54,0.04,-0.04,-0.470588235,-1,STOP,4.374614911,3.010293,1
9/15/2025,CRWV.OQ,9/15/2025 21:58,9/15/2025 21:56,120.5,120.25,120.25,120.75,0.25,-0.25,-0.20746888,-1,STOP,4.329342356,102.3519658,1
5/8/2025,BBAI.N,5/8/2025 21:56,5/8/2025 21:56,3.245,3.24,3.24,3.25,0.005,-0.005,-0.154083205,-1,STOP,4.180064309,2.91315,1
8/29/2025,CIFR.OQ,8/29/2025 20:12,8/29/2025 20:12,7.64,7.615,7.615,7.665,0.025,-0.025,-0.327225131,-1,STOP,4.172366621,4.73665,1
11/12/2025,AMD.OQ,11/12/2025 21:57,11/12/2025 21:56,259.08,258.67,258.67,259.49,0.41,-0.41,-0.158252277,-1,STOP,4.113338163,144.497625,1
10/20/2025,FNMA.PK,10/20/2025 21:59,10/20/2025 21:59,11.47,11.41,11.41,11.53,0.06,-0.06,-0.523103749,-1,STOP,4.105839416,8.5322255,1
11/13/2025,CSCO.OQ,11/13/2025 21:59,11/13/2025 21:55,77.45,77.665,77.235,77.665,0.215,0.215,0.277598451,1,TARGET,4.103497069,65.2806,1
9/22/2025,AAPL.OQ,9/22/2025 18:02,9/22/2025 18:02,256.255,256.08,256.08,256.43,0.175,-0.175,-0.06829135,-1,STOP,3.993097848,221.73595,1
9/29/2025,IREN.OQ,9/29/2025 21:47,9/29/2025 21:41,45.93,45.75,45.75,46.11,0.18,-0.18,-0.391900718,-1,STOP,3.822595281,13.883125,1
11/12/2025,SOFI.OQ,11/12/2025 21:58,11/12/2025 21:58,32.26,32.165,32.165,32.355,0.095,-0.095,-0.294482331,-1,STOP,3.79154566,19.07495,1
9/4/2025,AMZN.OQ,9/4/2025 21:56,9/4/2025 21:56,235.75,235.52,235.52,235.98,0.23,-0.23,-0.097560976,-1,STOP,3.689192164,213.10375,1
9/15/2025,SOFI.OQ,9/15/2025 21:52,9/15/2025 21:52,27.69,27.66,27.66,27.72,0.03,-0.03,-0.108342362,-1,STOP,3.672475173,16.4414,1
11/24/2025,TSLA.OQ,11/24/2025 21:58,11/24/2025 21:58,417.86,418.33,417.39,418.33,0.47,0.47,0.112477863,1,TARGET,3.649453823,339.11385,1
10/7/2025,SOFI.OQ,10/7/2025 21:57,10/7/2025 21:57,28.14,28.09,28.09,28.19,0.05,-0.05,-0.177683014,-1,STOP,3.592483419,17.36675,1
8/25/2025,SOFI.OQ,8/25/2025 21:59,8/25/2025 21:58,26.16,26.185,26.135,26.185,0.025,0.025,0.095565749,1,TARGET,3.565062389,15.5917,1
10/29/2025,PLTR.OQ,10/29/2025 20:56,10/29/2025 20:56,198.82,198.54,198.54,199.1,0.28,-0.28,-0.140830902,-1,STOP,3.530270637,131.18405,1
10/15/2025,BAC.N,10/15/2025 21:42,10/15/2025 21:38,52.355,52.255,52.255,52.455,0.1,-0.1,-0.191003725,-1,STOP,3.495741731,45.44265,1
9/5/2025,TSLA.OQ,9/5/2025 21:57,9/5/2025 21:56,351.02,350.49,350.49,351.55,0.53,-0.53,-0.150988548,-1,STOP,3.481955797,330.2063,1
9/3/2025,FNMA.PK,9/3/2025 21:59,9/3/2025 21:59,11.95,11.93,11.93,11.97,0.02,-0.02,-0.167364017,-1,STOP,3.466204506,6.9260255,1
8/28/2025,ONDS.OQ,8/28/2025 21:51,8/28/2025 21:51,5.71,5.69,5.69,5.73,0.02,-0.02,-0.350262697,-1,STOP,3.454545455,1.624207,1
9/3/2025,RIVN.OQ,9/3/2025 21:58,9/3/2025 21:58,14.43,14.415,14.415,14.445,0.015,-0.015,-0.103950104,-1,STOP,3.37038365,12.96305,1
9/15/2025,TSLA.OQ,9/15/2025 21:56,9/15/2025 21:56,410.28,409.81,409.81,410.75,0.47,-0.47,-0.114555913,-1,STOP,3.358378297,331.0876,1
10/2/2025,AMD.OQ,10/2/2025 21:58,10/2/2025 21:58,169.79,169.63,169.63,169.95,0.16,-0.16,-0.094234054,-1,STOP,3.340845414,127.828925,1
8/14/2025,ONDS.OQ,8/14/2025 21:59,8/14/2025 21:59,3.93,3.905,3.905,3.955,0.025,-0.025,-0.636132316,-1,STOP,3.302509908,1.4436855,1
5/12/2025,BAC.N,5/12/2025 21:22,5/12/2025 20:50,43.39,43.44,43.34,43.44,0.05,0.05,0.115233925,1,TARGET,3.288062902,42.3493,1
8/20/2025,DIDIY.PK,8/20/2025 21:59,8/20/2025 21:59,6.03,6.02,6.02,6.04,0.01,-0.01,-0.165837479,-1,STOP,3.259005146,4.839034,1
9/19/2025,SOFI.OQ,9/19/2025 21:56,9/19/2025 21:56,29.53,29.505,29.505,29.555,0.025,-0.025,-0.084659668,-1,STOP,3.254593176,16.6837,1
10/1/2025,TSLA.OQ,10/1/2025 21:57,10/1/2025 21:56,459.78,460.45,459.11,460.45,0.67,0.67,0.145721867,1,TARGET,3.24494382,335.1319,1
9/24/2025,INTC.OQ,9/24/2025 21:57,9/24/2025 21:57,31.23,31.16,31.16,31.3,0.07,-0.07,-0.224143452,-1,STOP,3.228476821,21.8748,1
8/11/2025,WULF.OQ,8/11/2025 21:48,8/11/2025 21:46,5.4,5.425,5.375,5.425,0.025,0.025,0.462962963,1,TARGET,3.166986564,4.849125,1
9/3/2025,AAPL.OQ,9/3/2025 21:57,9/3/2025 21:57,238.49,238.04,238.04,238.94,0.45,-0.45,-0.188687157,-1,STOP,3.145853194,221.26555,1
10/31/2025,RGTI.OQ,10/31/2025 20:58,10/31/2025 20:56,44.39,44.2,44.2,44.58,0.19,-0.19,-0.42802433,-1,STOP,3.124271392,16.538275,1
9/22/2025,NVDA.OQ,9/22/2025 21:51,9/22/2025 21:51,183.72,183.55,183.55,183.89,0.17,-0.17,-0.092532114,-1,STOP,3.074460916,141.1299,1
